"","GEO.id","GEO.id2","GEO.display.label","YEAR","HC01_VC03","HC01_VC04","HC01_VC06","HC01_VC07","HC01_VC08","HC01_VC09","HC01_VC10","HC01_VC11","HC01_VC12","HC01_VC75","HC01_VC85","HC01_VC86","HC01_VC87","HC01_VC88","HC01_VC89","HC01_VC90","HC01_VC91"
"295","1400000US11001007808",11001007808,"Census Tract 78.08, District of Columbia, District of Columbia","2012",1290,784,330,134,67,114,0,536,263,1786,76,484,879,265,24,353,106
"296","1400000US11001007809",11001007809,"Census Tract 78.09, District of Columbia, District of Columbia","2012",1140,582,295,62,31,94,0,426,264,684,73,294,550,358,112,90,148
"297","1400000US11001007901",11001007901,"Census Tract 79.01, District of Columbia, District of Columbia","2012",1629,913,393,181,17,155,91,577,285,1256,201,515,649,627,205,246,354
"298","1400000US11001007903",11001007903,"Census Tract 79.03, District of Columbia, District of Columbia","2012",762,295,87,126,25,46,17,123,45,423,58,128,346,247,19,197,93
"299","1400000US11001008001",11001008001,"Census Tract 80.01, District of Columbia, District of Columbia","2012",1224,532,211,307,111,40,10,185,90,497,55,59,228,373,95,614,677
"300","1400000US11001008002",11001008002,"Census Tract 80.02, District of Columbia, District of Columbia","2012",1587,745,307,486,209,58,8,201,90,593,104,129,448,301,175,752,954
"301","1400000US11001008100",11001008100,"Census Tract 81, District of Columbia, District of Columbia","2012",1331,614,259,449,224,54,7,111,28,592,15,71,217,262,46,878,1073
"302","1400000US11001008200",11001008200,"Census Tract 82, District of Columbia, District of Columbia","2012",1508,356,158,314,142,10,0,32,16,582,10,0,46,133,35,1098,1034
"303","1400000US11001008301",11001008301,"Census Tract 83.01, District of Columbia, District of Columbia","2012",1121,382,158,265,140,9,9,108,9,510,0,56,129,113,38,703,835
"304","1400000US11001008302",11001008302,"Census Tract 83.02, District of Columbia, District of Columbia","2012",1005,441,176,392,142,34,34,15,0,370,11,71,85,99,13,718,858
"305","1400000US11001008402",11001008402,"Census Tract 84.02, District of Columbia, District of Columbia","2012",1016,433,131,296,78,50,13,87,40,284,14,217,224,182,19,529,591
"306","1400000US11001008410",11001008410,"Census Tract 84.10, District of Columbia, District of Columbia","2012",524,259,108,115,24,56,24,88,60,348,11,62,216,161,66,255,258
"307","1400000US11001008701",11001008701,"Census Tract 87.01, District of Columbia, District of Columbia","2012",840,312,94,80,0,13,0,219,94,561,45,204,459,252,52,272,216
"308","1400000US11001008702",11001008702,"Census Tract 87.02, District of Columbia, District of Columbia","2012",696,306,86,76,22,59,11,171,53,332,65,227,331,260,80,152,244
"309","1400000US11001008802",11001008802,"Census Tract 88.02, District of Columbia, District of Columbia","2012",1808,860,242,204,47,114,18,542,177,1140,115,450,925,686,80,584,331
"310","1400000US11001008803",11001008803,"Census Tract 88.03, District of Columbia, District of Columbia","2012",484,187,112,52,18,5,0,130,94,1220,74,195,369,244,17,111,51
"311","1400000US11001008804",11001008804,"Census Tract 88.04, District of Columbia, District of Columbia","2012",1118,469,237,67,28,114,59,288,150,732,96,566,709,442,62,91,102
"312","1400000US11001008903",11001008903,"Census Tract 89.03, District of Columbia, District of Columbia","2012",1214,614,340,83,9,29,0,502,331,728,98,420,724,262,16,132,100
"313","1400000US11001008904",11001008904,"Census Tract 89.04, District of Columbia, District of Columbia","2012",1515,634,310,142,55,126,92,366,163,759,152,520,861,352,60,189,133
"314","1400000US11001009000",11001009000,"Census Tract 90, District of Columbia, District of Columbia","2012",1698,461,177,139,93,74,31,248,53,355,203,261,503,464,125,280,383
"315","1400000US11001009102",11001009102,"Census Tract 91.02, District of Columbia, District of Columbia","2012",1645,950,495,308,85,28,28,614,382,1468,198,498,1023,626,162,275,157
"316","1400000US11001009201",11001009201,"Census Tract 92.01, District of Columbia, District of Columbia","2012",571,264,117,113,38,15,12,136,67,670,74,89,272,188,29,94,248
"317","1400000US11001009203",11001009203,"Census Tract 92.03, District of Columbia, District of Columbia","2012",1072,365,186,127,74,30,0,208,112,614,158,170,292,384,47,427,221
"318","1400000US11001009204",11001009204,"Census Tract 92.04, District of Columbia, District of Columbia","2012",1258,494,294,172,102,71,43,251,149,675,218,302,504,379,48,215,70
"319","1400000US11001009301",11001009301,"Census Tract 93.01, District of Columbia, District of Columbia","2012",1204,665,236,420,126,26,0,219,110,658,23,91,594,354,90,482,736
"320","1400000US11001009302",11001009302,"Census Tract 93.02, District of Columbia, District of Columbia","2012",427,193,69,119,45,11,0,63,24,295,107,68,278,92,54,105,146
"321","1400000US11001009400",11001009400,"Census Tract 94, District of Columbia, District of Columbia","2012",1692,890,275,429,148,54,0,407,127,925,129,155,1076,788,114,445,581
"322","1400000US11001009501",11001009501,"Census Tract 95.01, District of Columbia, District of Columbia","2012",1777,906,477,329,196,136,107,441,174,3240,431,318,822,681,142,310,324
"323","1400000US11001009503",11001009503,"Census Tract 95.03, District of Columbia, District of Columbia","2012",1188,771,255,441,109,22,10,308,136,784,44,66,455,431,134,667,515
"324","1400000US11001009504",11001009504,"Census Tract 95.04, District of Columbia, District of Columbia","2012",1157,594,135,176,7,163,37,255,91,524,116,173,649,565,25,329,397
"325","1400000US11001009505",11001009505,"Census Tract 95.05, District of Columbia, District of Columbia","2012",1105,653,230,292,139,82,12,279,79,475,143,235,539,384,93,446,281
"326","1400000US11001009507",11001009507,"Census Tract 95.07, District of Columbia, District of Columbia","2012",634,330,32,162,32,14,0,154,0,385,38,91,316,224,42,190,145
"327","1400000US11001009508",11001009508,"Census Tract 95.08, District of Columbia, District of Columbia","2012",1448,624,212,390,129,50,14,184,69,671,88,102,657,570,83,500,344
"328","1400000US11001009509",11001009509,"Census Tract 95.09, District of Columbia, District of Columbia","2012",1190,736,246,441,106,92,67,203,73,649,204,103,639,641,172,389,295
"329","1400000US11001009601",11001009601,"Census Tract 96.01, District of Columbia, District of Columbia","2012",773,592,329,199,106,16,7,377,216,1362,88,324,281,347,49,205,112
"330","1400000US11001009602",11001009602,"Census Tract 96.02, District of Columbia, District of Columbia","2012",1317,767,449,60,24,66,8,641,417,830,95,406,675,377,68,71,0
"331","1400000US11001009603",11001009603,"Census Tract 96.03, District of Columbia, District of Columbia","2012",1443,532,256,66,40,57,25,409,191,810,102,246,661,502,160,185,126
"332","1400000US11001009604",11001009604,"Census Tract 96.04, District of Columbia, District of Columbia","2012",1002,422,98,175,17,26,21,221,60,502,18,129,658,351,64,202,83
"333","1400000US11001009700",11001009700,"Census Tract 97, District of Columbia, District of Columbia","2012",986,742,378,137,26,76,0,529,352,776,32,164,764,290,51,110,125
"334","1400000US11001009801",11001009801,"Census Tract 98.01, District of Columbia, District of Columbia","2012",557,329,135,41,21,32,0,256,114,599,42,291,250,191,22,106,45
