STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
997314,99999, 20120409,   60.3,24, 9999.9, 0, 1011.4,24, 9999.9, 0, 999.9, 0,   9.3,24,  15.0, 999.9,   66.6*,  54.5*, 0.00I,999.9, 000000,
997314,99999, 20120410,   56.9,24, 9999.9, 0, 1008.7,24, 9999.9, 0, 999.9, 0,   7.4,24,  13.0, 999.9,   64.9*,  48.9*, 0.00I,999.9, 000000,
997314,99999, 20120411,   48.3,24, 9999.9, 0, 1012.8,24, 9999.9, 0, 999.9, 0,  10.8,24,  15.0, 999.9,   60.1*,  41.9*, 0.00I,999.9, 000000,
997314,99999, 20120412,   49.4,24, 9999.9, 0, 1018.6,24, 9999.9, 0, 999.9, 0,   9.5,24,  15.9, 999.9,   58.6*,  42.8*, 0.00I,999.9, 000000,
997314,99999, 20120413,   54.7,24, 9999.9, 0, 1022.8,24, 9999.9, 0, 999.9, 0,   4.2,24,   8.0, 999.9,   65.5*,  46.8*, 0.00I,999.9, 000000,
997314,99999, 20120414,   58.3,24, 9999.9, 0, 1022.3,24, 9999.9, 0, 999.9, 0,   5.3,24,  15.0, 999.9,   71.1*,  49.1*, 0.00I,999.9, 000000,
997314,99999, 20120415,   67.2,24, 9999.9, 0, 1017.2,24, 9999.9, 0, 999.9, 0,   5.5,24,  12.0, 999.9,   75.0*,  61.2*, 0.00I,999.9, 000000,
997314,99999, 20120416,   72.7,24, 9999.9, 0, 1015.7,24, 9999.9, 0, 999.9, 0,   7.3,24,  14.0, 999.9,   82.6*,  64.9*, 0.00I,999.9, 000000,
997314,99999, 20120417,   70.8,24, 9999.9, 0, 1018.9,24, 9999.9, 0, 999.9, 0,   8.3,24,  16.9, 999.9,   77.5*,  66.0*, 0.00I,999.9, 000000,
997314,99999, 20120418,   59.6,24, 9999.9, 0, 1022.9,24, 9999.9, 0, 999.9, 0,   4.3,24,   8.9, 999.9,   68.7*,  53.4*, 0.00I,999.9, 000000,
997314,99999, 20120419,   57.9,24, 9999.9, 0, 1019.4,24, 9999.9, 0, 999.9, 0,   2.3,24,   4.1, 999.9,   69.4*,  52.2*, 0.00I,999.9, 000000,
997314,99999, 20120420,   62.3,24, 9999.9, 0, 1015.0,24, 9999.9, 0, 999.9, 0,   4.6,24,   8.9, 999.9,   71.1*,  54.3*, 0.00I,999.9, 000000,
997314,99999, 20120421,   67.2,24, 9999.9, 0, 1007.5,24, 9999.9, 0, 999.9, 0,   7.6,24,  14.0, 999.9,   78.4*,  60.1*, 0.00I,999.9, 000000,
997314,99999, 20120422,   53.9,24, 9999.9, 0, 1006.2,24, 9999.9, 0, 999.9, 0,   6.9,23,   9.9, 999.9,   63.0*,  49.1*, 0.00I,999.9, 000000,
997314,99999, 20120423,   45.5,24, 9999.9, 0,  995.6,24, 9999.9, 0, 999.9, 0,  11.1,24,  16.9, 999.9,   49.1*,  42.3*, 0.00I,999.9, 000000,
997314,99999, 20120424,   50.7,24, 9999.9, 0, 1000.9,24, 9999.9, 0, 999.9, 0,   6.5,24,  12.0, 999.9,   60.8*,  43.9*, 0.00I,999.9, 000000,
997314,99999, 20120425,   57.4,24, 9999.9, 0, 1008.5,24, 9999.9, 0, 999.9, 0,   4.2,24,   9.9, 999.9,   68.9*,  46.6*, 0.00I,999.9, 000000,
997314,99999, 20120426,   60.4,24, 9999.9, 0, 1007.9,24, 9999.9, 0, 999.9, 0,   4.2,23,   9.9, 999.9,   66.9*,  56.3*, 0.00I,999.9, 000000,
997314,99999, 20120427,   57.7,24, 9999.9, 0, 1012.5,24, 9999.9, 0, 999.9, 0,   9.6,24,  15.0, 999.9,   64.9*,  50.7*, 0.00I,999.9, 000000,
997314,99999, 20120428,   52.0,24, 9999.9, 0, 1023.1,24, 9999.9, 0, 999.9, 0,   4.0,23,  12.0, 999.9,   59.7*,  47.8*, 0.00I,999.9, 000000,
997314,99999, 20120429,   54.3,24, 9999.9, 0, 1021.9,24, 9999.9, 0, 999.9, 0,   3.0,24,   8.9, 999.9,   68.9*,  46.9*, 0.00I,999.9, 000000,
997314,99999, 20120430,   57.3,24, 9999.9, 0, 1023.8,24, 9999.9, 0, 999.9, 0,   2.8,23,   7.0, 999.9,   69.3*,  50.5*, 0.00I,999.9, 000000,
997314,99999, 20120501,   67.5,24, 9999.9, 0, 1016.9,24, 9999.9, 0, 999.9, 0,   5.0,24,  11.1, 999.9,   81.7*,  60.3*, 0.00I,999.9, 000000,
997314,99999, 20120502,   67.9,24, 9999.9, 0, 1016.6,24, 9999.9, 0, 999.9, 0,   2.5,21,   5.1, 999.9,   77.5*,  63.7*, 0.00I,999.9, 000000,
997314,99999, 20120503,   62.9,24, 9999.9, 0, 1019.4,24, 9999.9, 0, 999.9, 0,   3.7,24,   8.0, 999.9,   78.1*,  55.9*, 0.00I,999.9, 000000,
997314,99999, 20120504,   71.7,24, 9999.9, 0, 1015.2,24, 9999.9, 0, 999.9, 0,   3.3,24,  11.1, 999.9,   81.0*,  65.7*, 0.00I,999.9, 000000,
997314,99999, 20120505,   72.7,24, 9999.9, 0, 1011.5,24, 9999.9, 0, 999.9, 0,   2.0,24,   4.1, 999.9,   79.5*,  65.5*, 0.00I,999.9, 000000,
997314,99999, 20120506,   66.0,24, 9999.9, 0, 1016.2,24, 9999.9, 0, 999.9, 0,   2.9,24,   5.1, 999.9,   70.5*,  60.4*, 0.00I,999.9, 000000,
997314,99999, 20120507,   63.7,24, 9999.9, 0, 1018.1,24, 9999.9, 0, 999.9, 0,   6.5,24,  13.0, 999.9,   69.3*,  57.7*, 0.00I,999.9, 000000,
997314,99999, 20120508,   66.0,24, 9999.9, 0, 1014.1,24, 9999.9, 0, 999.9, 0,   9.0,24,  14.0, 999.9,   72.9*,  61.2*, 0.00I,999.9, 000000,
997314,99999, 20120509,   69.4,24, 9999.9, 0, 1007.5,24, 9999.9, 0, 999.9, 0,   6.7,24,  18.1, 999.9,   73.0*,  62.2*, 0.00I,999.9, 000000,
997314,99999, 20120510,   60.7,24, 9999.9, 0, 1005.8,24, 9999.9, 0, 999.9, 0,  10.3,24,  20.0, 999.9,   66.2*,  55.9*, 0.00I,999.9, 000000,
997314,99999, 20120511,   61.7,24, 9999.9, 0, 1016.9,24, 9999.9, 0, 999.9, 0,   6.6,24,  14.0, 999.9,   72.9*,  54.0*, 0.00I,999.9, 000000,
997314,99999, 20120512,   67.0,24, 9999.9, 0, 1023.4,24, 9999.9, 0, 999.9, 0,   3.3,24,   8.9, 999.9,   76.5*,  56.3*, 0.00I,999.9, 000000,
997314,99999, 20120513,   69.8,24, 9999.9, 0, 1021.7,24, 9999.9, 0, 999.9, 0,   6.7,24,  14.0, 999.9,   76.6*,  63.7*, 0.00I,999.9, 000000,
997314,99999, 20120514,   67.9,15, 9999.9, 0, 1019.6,15, 9999.9, 0, 999.9, 0,   7.9,15,  11.1, 999.9,   74.7*,  62.4*, 0.00I,999.9, 000000,
997314,99999, 20120515,   72.3,13, 9999.9, 0, 1013.6,13, 9999.9, 0, 999.9, 0,   4.0,13,   7.0, 999.9,   77.7*,  66.6*, 0.00I,999.9, 000000,
997314,99999, 20120516,   72.2,24, 9999.9, 0, 1012.9,24, 9999.9, 0, 999.9, 0,   3.4,24,   8.0, 999.9,   80.2*,  65.1*, 0.00I,999.9, 000000,
997314,99999, 20120517,   71.3,24, 9999.9, 0, 1016.0,24, 9999.9, 0, 999.9, 0,   5.3,24,   8.9, 999.9,   77.5*,  63.7*, 0.00I,999.9, 000000,
997314,99999, 20120518,   67.5,24, 9999.9, 0, 1020.3,24, 9999.9, 0, 999.9, 0,   2.2,24,   7.0, 999.9,   76.3*,  57.2*, 0.00I,999.9, 000000,
